ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usrX.OSC2.OSC2 COARSE TUNE,67108902,2,705,2,int,2,4,"0,22",11
fm.usrX.MIX.MIX OSC1,67108904,2,707,2,int,2,4,"0,255",128
fm.usrX.MIX.MIX OSC2,67108906,2,709,2,int,2,4,"0,255",0
fm.usrX.MIX.MIX SUB OSC,67108908,2,711,2,int,2,4,"0,255",0
fm.usrX.MIX.MIX NOISE,67108910,2,713,2,int,2,4,"0,255",0
fm.usrX.MIX.MIX SUB OSC TYPE,67108912,2,715,2,int,2,4,"0,1",1
fm.usrX.MIX.MIX NOISE TYPE,67108914,2,717,2,int,2,4,"0,1",1
fm.usrX.PIT.PITCH ENV,67108916,2,719,2,int,2,4,"0,255",128
fm.usrX.PIT.PITCH ATTACK,67108918,2,721,2,int,2,4,"0,255",0
fm.usrX.PIT.PITCH DECAY,67108920,2,723,2,int,2,4,"0,255",0
fm.usrX.FLT.FILTER LPF CUTOFF,67108922,2,725,2,int,2,4,"0,255",255
fm.usrX.FLT.FILTER LPF TYPE,67108924,2,727,2,int,2,4,"0,1",1
fm.usrX.FLT.FILTER RESONANCE,67108926,2,729,2,int,2,4,"0,255",0
fm.usrX.FLT.FILTER HPF CUTOFF,67108928,2,731,2,int,2,4,"0,255",0
fm.usrX.FLT.FILTER ENV,67108930,2,733,2,int,2,4,"0,255",128
fm.usrX.FLT.FILTER ATTACK,67108932,2,735,2,int,2,4,"0,255",0
fm.usrX.FLT.FILTER DECAY,67108934,2,737,2,int,2,4,"0,255",0
